data_ocorrencia;nome_cidade;latitude_ocorrencia;longitude_ocorrencia;qtd_morto_civil_ocorrencia;qtd_morto_agen_segur_ocorrencia
20/01/2018;Rio de Janeiro;-22.9150092;-43.2203671;0;0
18/01/2018;Rio de Janeiro;-22.8416244;-43.3177681;0;0
18/01/2018;Rio de Janeiro;-22.9252209;-43.2143529;0;0
20/01/2018;Rio de Janeiro;-22.8308535;-43.2698184;0;0
01/01/2018;Rio de Janeiro;-22.8593330383;-43.2754745483;0;0
03/01/2018;Rio de Janeiro;-22.9273433685;-43.248752594;1;0
03/01/2018;Nova Iguaçu;-22.7575912476;-43.4538459778;1;0
04/01/2018;Rio de Janeiro;-22.8114871979;-43.3207168579;0;0
01/01/2018;Niterói;-22.9078540802;-43.1123847961;0;0
04/01/2018;Rio de Janeiro;-22.8593330383;-43.2754745483;0;0
04/01/2018;Rio de Janeiro;-22.9217433929;-43.6637649536;0;0
04/01/2018;Rio de Janeiro;-22.8803653717;-43.2690048218;0;0
04/01/2018;Rio de Janeiro;-22.9273529053;-43.1767158508;0;0
04/01/2018;Rio de Janeiro;-22.8604011536;-43.4884109497;0;0
04/01/2018;São Gonçalo;-22.8187026978;-43.042640686;0;0
04/01/2018;São Gonçalo;-22.8577365875;-42.9440612793;0;0
04/01/2018;Rio de Janeiro;-22.9345703125;-43.665348053;0;0
04/01/2018;São Gonçalo;-22.8314971924;-43.0780105591;0;0
05/01/2018;São Gonçalo;-22.7953281403;-43.0065307617;0;0
05/01/2018;Niterói;-22.903591156;-43.0965042114;0;0
05/01/2018;São Gonçalo;-22.7848091125;-43.0286140442;0;0
05/01/2018;Rio de Janeiro;-22.8581104279;-43.4875297546;0;0
05/01/2018;Rio de Janeiro;-22.8885555267;-43.4140129089;0;0
04/01/2018;Rio de Janeiro;-22.827501297;-43.3108901978;0;0
03/01/2018;Rio de Janeiro;-22.9102897644;-43.2299232483;1;0
04/01/2018;Belford Roxo;-22.7061901093;-43.3379364014;4;0
